date,apy,tvl_usd
2025-05-14,4.52838,286161370
2025-05-15,3.42654,705603895
2025-05-16,4.39978,331186508
2025-05-17,3.8908,564781879
2025-05-18,3.36467,853900815
2025-05-19,3.30307,880396458
2025-05-20,3.55008,769289094
2025-05-21,3.53264,780474717
2025-05-22,3.69047,707740881
2025-05-23,3.68889,713856707
2025-05-24,3.51421,798200586
2025-05-25,3.3363,882638181
2025-05-26,3.58106,763531731
2025-05-27,3.78603,662720615
2025-05-28,3.65344,719963344
2025-05-29,3.62795,732937347
2025-05-30,3.79473,633410875
2025-05-31,3.80203,629753675
2025-06-01,3.85424,606192303
2025-06-02,3.97005,558209218
2025-06-03,4.09938,513026858
2025-06-04,4.24617,450693139
2025-06-05,3.70138,697981313
2025-06-06,3.75457,673365637
2025-06-07,3.73647,683054632
2025-06-08,3.85597,627943361
2025-06-09,4.59845,205428112
2025-06-10,4.22642,391779593
2025-06-11,4.01235,509988846
2025-06-12,3.72711,661155261
2025-06-13,3.70399,671792896
2025-06-14,3.65445,771785033
2025-06-15,3.70534,747152827
2025-06-16,3.19709,1096541596
2025-06-17,3.23055,1076424844
2025-06-18,3.18621,1101102604
2025-06-19,3.24646,1070186022
2025-06-20,3.209,1091396505
2025-06-21,3.35828,1011022854
2025-06-22,5.71799,297462838
2025-06-23,3.57221,843903780
2025-06-24,3.55655,850080792
2025-06-25,3.30364,1046707412
2025-06-26,3.15044,1133338256
2025-06-27,2.69908,1504637872
2025-06-28,2.74527,1475335448
